"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.029708750E0	3.705980264E-1	-7.364985459E-1	-5.491963972E0	5.553507115E0
2.039670750E0	-3.834999443E-1	-8.909170063E-1	5.066929282E0	5.158931834E0
2.049631750E0	-8.970035375E-2	1.613397730E-1	7.315405895E0	7.317734627E0
2.059593750E0	1.816729172E-1	-1.105531967E-1	-5.013671672E0	5.018180018E0
2.069555750E0	3.008646076E-1	-9.209837546E-1	-4.661559947E0	4.761183858E0
2.079517750E0	-7.226996286E-1	-6.439700858E-1	5.083516079E0	5.174855355E0
2.089478750E0	3.439880789E-1	6.396092324E-1	1.191587121E0	1.395459650E0
2.099440750E0	-7.357374212E-2	-2.550492610E-1	-5.338816039E0	5.345411109E0
2.109402750E0	-1.204398151E0	-1.382629251E0	-1.733426961E0	2.523293003E0
2.119363750E0	5.984927083E-1	-4.893902058E-1	4.430420097E0	4.497367956E0
2.129325750E0	6.103071171E-1	1.272791498E0	2.193613942E0	2.608527382E0
2.139287750E0	-5.847524459E-1	-1.342006597E0	-3.996131018E0	4.255817224E0
2.149248750E0	-2.881829470E-1	-1.688166149E0	-4.285026741E-1	1.765380667E0
2.159210750E0	4.905373929E-1	1.086207796E0	5.741447707E0	5.863846527E0
2.169172750E0	8.190651778E-1	-3.432508181E-1	-4.751868439E-1	1.007219651E0
2.179133750E0	-2.610396969E-1	-1.600060012E0	-4.347608905E0	4.640047086E0
2.189095750E0	-1.785488961E0	-7.683997851E-1	1.185974963E0	2.277047578E0
2.199057750E0	1.252924413E0	1.570921582E0	-2.972274202E-1	2.031245515E0
2.209018750E0	-2.553842334E-1	-5.727269891E-1	7.989793342E-1	1.015679717E0
2.218980750E0	-1.772888065E0	-1.846786931E0	-2.758288913E0	3.763231562E0
2.228942750E0	9.618102568E-1	2.534219809E-2	-2.055702099E0	2.269720757E0
2.238903750E0	8.653171653E-1	1.650946429E0	4.499305560E0	4.870128174E0
2.248865750E0	-5.870738270E-1	-1.678152500E0	1.370341181E0	2.244701861E0
2.258827750E0	-7.956117035E-1	-1.630751900E0	-1.963973318E0	2.673862550E0
2.268788750E0	2.748844966E-1	7.589726847E-1	-7.158892304E-1	1.078933924E0
2.278750750E0	6.062068303E-1	8.766049958E-1	3.546414061E0	3.703103527E0
2.288712750E0	-1.666039701E0	-1.968004389E0	-2.934528086E0	3.906428631E0
2.298673750E0	-1.360529042E-1	-5.041832228E-1	-2.260525970E0	2.320062235E0
2.308635750E0	4.082007028E-1	1.578759921E0	1.605981633E0	2.288730588E0
2.318597750E0	8.218683695E-2	-1.042677980E0	2.444000487E0	2.658396214E0
2.328558750E0	-8.260379825E-1	-1.778126001E0	-1.332269375E0	2.370445636E0
2.338520750E0	-3.683663635E-2	4.785814084E-1	-3.250225106E0	3.285477187E0
2.348482750E0	1.405230494E0	5.967063839E-1	4.273078541E0	4.537612970E0
2.358444750E0	-6.933949918E-1	-1.727302733E0	4.363681147E0	4.744057810E0
2.368405750E0	-6.673300047E-1	-1.775721187E-1	-4.350950004E0	4.405408850E0
2.378367750E0	6.782648827E-1	7.509789197E-4	-3.533902774E0	3.598404178E0
2.388329750E0	2.897566886E-1	-1.748367547E-1	4.112421613E0	4.126322618E0
2.398290750E0	-4.205122346E-1	-6.827512320E-1	1.992087316E0	2.147415111E0
2.408252750E0	1.965440312E-1	-6.684077927E-1	-5.604226420E0	5.647366847E0
2.418214750E0	-4.778831595E-2	-5.326990703E-1	-6.044565028E-1	8.071057467E-1
2.428175750E0	-9.774127113E-2	-7.433770825E-2	5.223878490E0	5.225321610E0
2.438137750E0	6.406652395E-1	-5.421322737E-1	7.343822193E-1	1.115202491E0
2.448099750E0	-1.547648896E-1	-2.126707798E-1	-2.358497822E0	2.373118836E0
2.458060750E0	-5.881356540E-2	-6.571583346E-1	-2.026294112E-2	6.600959771E-1
2.468022750E0	-4.567049646E-1	-7.940275466E-1	2.694358381E0	2.845808542E0
2.477984750E0	-1.715296061E-1	-8.521108084E-2	-1.899935197E0	1.909564633E0
2.487945750E0	-1.384080165E-1	6.448485752E-2	-2.708298728E0	2.712599689E0
2.497907750E0	1.085224404E-1	-6.465676383E-1	9.309673637E-1	1.138651423E0
2.507869750E0	-1.928547487E-1	-6.399784110E-1	2.252983062E0	2.350042127E0
2.517830750E0	-2.472197113E-1	-1.537020668E-1	-2.693981820E-1	3.966324388E-1
2.527792750E0	2.673393591E-2	-6.449012549E-1	-1.829241775E0	1.939777772E0
2.537754750E0	1.990663007E-1	-3.076316634E-1	2.353276259E-1	4.354810259E-1
2.547715750E0	2.499517863E-1	-1.497675942E-1	1.475119777E0	1.503623818E0
